Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Sedih,Pop,SadBoyProlific,Dead And Cold,2018,spotify:track:33LizV83s7z1gwtmLiKlmv
Sedih,Pop,Tulus,Diri,2022,spotify:track:2qgjqbi96IAOBzZFC6H57U
Sedih,Pop,Nadin Amizah,Rumpang,2018,spotify:track:2TRGNVokPnC2a2oHg5iv1H
Sedih,Pop,Nadin Amizah,"dan, selesai",2021,spotify:track:0QZb9ug5cElTG2vCrdkqa4
Marah,Pop,Hindia,Evaluasi,2019,spotify:track:2dIBMHByUGcNPzmYBJ6OAj
Marah,Pop,Sarcastic Sounds,Disappointment,2022,spotify:track:6Xoe3jKnSFKSzsQ8kdDT7I
Netral,Pop,Ed Sheeran,Shape of You,2017,spotify:track:7qiZfU4dY1lWllzX7mPBI3
Sedih,Pop,Cassandra,Cinta Terbaik,2017,spotify:track:0Afs1hDADIDxx31FyJIEXm
Bersemangat,Reggae,Souljah,Bersamamu,2007,spotify:track:0wsIqifXGH25VnC71Dafm1
Marah,Rock,My Chemical Romance,Teenagers,2006,spotify:track:7j31rVgGX9Q2blT92VBEA0
Sedih,Jazz,Billie Holiday,All of Me,1933,spotify:track:1LGqJ3nvxpVXDWpEzq4DJD
